starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:35 2013	1371506315	220	625	846	625
Mon Jun 17 15:58:34 2013	1371506314	202	646	848	641
Mon Jun 17 15:58:28 2013	1371506308	201	647	848	640
Mon Jun 17 15:58:34 2013	1371506314	201	647	848	646
Mon Jun 17 15:58:42 2013	1371506322	206	642	848	640
Mon Jun 17 15:58:44 2013	1371506324	211	639	850	578
Mon Jun 17 15:58:28 2013	1371506308	245	605	851	544
Mon Jun 17 15:58:32 2013	1371506312	218	632	851	625
Mon Jun 17 15:58:27 2013	1371506307	213	637	851	630
Mon Jun 17 15:58:32 2013	1371506312	212	639	852	632
Mon Jun 17 15:58:11 2013	1371506291	330	522	852	469
Mon Jun 17 15:58:42 2013	1371506322	224	629	853	624
Mon Jun 17 15:58:35 2013	1371506315	213	640	853	636
Mon Jun 17 15:58:45 2013	1371506325	217	637	853	635
Mon Jun 17 15:58:29 2013	1371506309	205	650	855	650
Mon Jun 17 15:58:34 2013	1371506314	204	652	856	651
Mon Jun 17 15:58:35 2013	1371506315	223	635	858	573
Mon Jun 17 15:58:24 2013	1371506304	205	654	858	597
Mon Jun 17 15:58:46 2013	1371506326	203	657	860	591
Mon Jun 17 15:58:31 2013	1371506311	212	649	861	583
Mon Jun 17 15:58:12 2013	1371506292	208	653	861	591
